python train.py config/prime.py --block_size=30 
Overriding config with config/prime.py:
# train a miniature transformer on the synthetic prime dataset
# good for debugging and running on CPU/macbook

out_dir = 'out-prime-FW-char'
eval_interval = 250
eval_iters = 200
log_interval = 10

always_save_checkpoint = True

wandb_log = False
wandb_project = 'prime'
wandb_run_name = 'mini-gpt'

# dataset name matches the directory with train.bin and val.bin
dataset = 'prime'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256  # context window

# small GPT-style model
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99

warmup_iters = 100

# CPU settings
device = 'cpu'
compile = False

Overriding: block_size = 30
tokens per iteration will be: 1,920
found vocab_size = 12 (inside data/prime/fw_100000000_char_meta.pkl)
Initializing a new model from scratch
number of parameters: 10.63M
/Users/sophiasklaviadis/word-order/nanoGPT/train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
/Users/sophiasklaviadis/miniconda3/envs/nanogpt-cpu/lib/python3.10/site-packages/torch/amp/grad_scaler.py:136: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  warnings.warn(
num decayed parameter tensors: 26, with 10,632,960 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: False
step 0: train loss 2.3010, val loss 2.3004
iter 0: loss 2.3226, time 33000.14ms, mfu -100.00%
iter 10: loss 1.9273, time 293.60ms, mfu 0.14%
iter 20: loss 1.8427, time 281.83ms, mfu 0.14%
iter 30: loss 1.7809, time 283.07ms, mfu 0.14%
iter 40: loss 1.7348, time 287.14ms, mfu 0.14%
iter 50: loss 1.7391, time 282.91ms, mfu 0.14%
iter 60: loss 1.7040, time 284.10ms, mfu 0.14%
iter 70: loss 1.7098, time 282.09ms, mfu 0.14%
iter 80: loss 1.6516, time 283.10ms, mfu 0.14%
iter 90: loss 1.6625, time 286.72ms, mfu 0.14%
iter 100: loss 1.6346, time 288.09ms, mfu 0.14%
iter 110: loss 1.6686, time 280.73ms, mfu 0.14%
iter 120: loss 1.6670, time 292.16ms, mfu 0.14%
iter 130: loss 1.6029, time 286.67ms, mfu 0.14%
iter 140: loss 1.6236, time 284.14ms, mfu 0.14%
iter 150: loss 1.6094, time 291.06ms, mfu 0.14%
iter 160: loss 1.6258, time 281.68ms, mfu 0.14%
iter 170: loss 1.5952, time 309.24ms, mfu 0.14%
iter 180: loss 1.5736, time 292.80ms, mfu 0.14%
iter 190: loss 1.5748, time 282.28ms, mfu 0.14%
iter 200: loss 1.5944, time 292.30ms, mfu 0.14%
iter 210: loss 1.5857, time 302.59ms, mfu 0.14%
iter 220: loss 1.5723, time 282.81ms, mfu 0.14%
iter 230: loss 1.5690, time 293.96ms, mfu 0.14%
iter 240: loss 1.5666, time 280.96ms, mfu 0.14%
step 250: train loss 1.5337, val loss 1.5332
saving checkpoint to out-prime-FW-char
iter 250: loss 1.5621, time 31949.91ms, mfu 0.12%
iter 260: loss 1.5539, time 286.17ms, mfu 0.13%
iter 270: loss 1.5541, time 396.32ms, mfu 0.12%
iter 280: loss 1.5432, time 287.49ms, mfu 0.12%
iter 290: loss 1.5482, time 281.35ms, mfu 0.13%
iter 300: loss 1.5391, time 298.35ms, mfu 0.13%
iter 310: loss 1.5551, time 287.73ms, mfu 0.13%
iter 320: loss 1.5414, time 289.03ms, mfu 0.13%
iter 330: loss 1.5313, time 287.52ms, mfu 0.13%
iter 340: loss 1.5581, time 291.06ms, mfu 0.13%
iter 350: loss 1.5294, time 285.24ms, mfu 0.13%
iter 360: loss 1.5422, time 283.30ms, mfu 0.13%
iter 370: loss 1.5453, time 293.40ms, mfu 0.13%
iter 380: loss 1.5398, time 289.74ms, mfu 0.13%
iter 390: loss 1.5498, time 284.39ms, mfu 0.13%
iter 400: loss 1.5442, time 290.84ms, mfu 0.13%
iter 410: loss 1.5526, time 283.92ms, mfu 0.13%
iter 420: loss 1.5385, time 289.64ms, mfu 0.13%
iter 430: loss 1.5460, time 280.28ms, mfu 0.14%
iter 440: loss 1.5443, time 286.83ms, mfu 0.14%
iter 450: loss 1.5358, time 286.14ms, mfu 0.14%
iter 460: loss 1.5453, time 291.51ms, mfu 0.14%
iter 470: loss 1.5290, time 290.02ms, mfu 0.14%
iter 480: loss 1.5395, time 296.93ms, mfu 0.14%
iter 490: loss 1.5267, time 911.97ms, mfu 0.13%
step 500: train loss 1.5143, val loss 1.5137
saving checkpoint to out-prime-FW-char
iter 500: loss 1.5369, time 34412.56ms, mfu 0.11%
iter 510: loss 1.5299, time 314.47ms, mfu 0.12%
iter 520: loss 1.5425, time 322.14ms, mfu 0.12%
iter 530: loss 1.5291, time 286.84ms, mfu 0.12%
